Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm)
2018-11-11 14:05:12,Running,10.44,58:40,5:37,10.68,130,159.0
2018-11-09 15:02:35,Running,12.84,1:14:12,5:47,10.39,168,159.0
2018-11-04 16:05:00,Running,13.01,1:15:16,5:47,10.37,171,155.0
2018-11-01 14:03:58,Running,12.98,1:14:25,5:44,10.47,169,158.0
2018-10-27 17:01:36,Running,13.02,1:12:50,5:36,10.73,170,154.0
2018-10-19 17:52:32,Running,10.29,59:18,5:46,10.41,133,155.0
2018-10-14 17:28:56,Running,12.93,1:10:16,5:26,11.04,159,158.0
2018-10-12 17:41:58,Running,12.31,1:09:26,5:38,10.64,134,157.0
2018-10-06 16:45:02,Cycling,19.63,1:26:26,4:24,13.63,210,79.0
2018-09-30 16:52:34,Running,12.97,1:13:56,5:42,10.52,171,156.0
2018-09-16 14:55:03,Cycling,32.61,1:55:15,3:32,16.98,462,118.0
2018-09-02 17:24:28,Other,17.65,1:01:28,3:29,17.23,219,77.0
2018-09-01 17:06:15,Cycling,36.89,1:58:39,3:13,18.65,491,122.0
2018-08-28 18:44:33,Cycling,28.17,1:27:07,3:06,19.4,400,111.0
2018-08-25 17:18:32,Cycling,19.41,1:11:33,3:41,16.28,199,124.0
2018-08-22 18:25:22,Running,4.38,33:55,7:45,7.75,60,138.0
2018-08-12 17:37:17,Running,22.09,2:13:22,6:02,9.94,342,148.0
2018-08-08 18:44:59,Running,15.27,1:19:37,5:13,11.51,241,150.0
2018-08-05 10:17:10,Running,18.7,1:49:19,5:51,10.26,280,150.0
2018-08-01 18:20:26,Running,18.2,1:43:05,5:40,10.59,259,145.0
2018-07-31 18:25:24,Other,16.8,1:07:21,4:01,14.97,202,94.0
2018-07-30 18:18:47,Running,17.87,1:44:00,5:49,10.31,261,141.0
2018-07-27 11:43:03,Running,12.71,1:14:51,5:53,10.19,180,145.0
2018-07-20 08:01:51,Running,11.01,59:18,5:23,11.14,85,
2018-07-18 08:08:39,Running,11.04,55:41,5:03,11.9,87,
2018-07-13 17:43:20,Running,17.96,1:41:36,5:40,10.6,258,145.0
2018-07-07 16:02:30,Running,17.85,1:37:40,5:28,10.97,266,149.0
2018-07-03 18:00:05,Running,18.75,1:41:30,5:25,11.08,300,139.0
2018-06-28 12:24:25,Running,17.95,1:36:59,5:24,11.1,260,148.0
2018-06-25 18:11:12,Running,18.72,1:39:27,5:19,11.3,301,142.0
2018-06-21 18:03:18,Running,14.38,1:15:59,5:17,11.36,211,145.0
2018-06-18 18:17:49,Running,11.63,1:02:52,5:24,11.1,145,141.0
2018-06-16 17:29:00,Running,14.95,1:19:03,5:17,11.35,243,147.0
2018-06-13 18:50:49,Running,12.75,1:07:30,5:18,11.34,173,147.0
2018-06-11 18:23:11,Running,15.74,1:22:58,5:16,11.38,209,147.0
2018-06-06 18:44:29,Running,12.78,1:07:56,5:19,11.29,170,143.0
2018-06-03 17:21:51,Running,17.58,1:33:29,5:19,11.28,235,149.0
2018-05-30 18:48:00,Running,12.81,1:08:12,5:20,11.27,172,147.0
2018-05-27 17:31:09,Running,21.73,2:03:22,5:41,10.57,343,140.0
2018-05-23 18:13:17,Running,15.59,1:20:32,5:10,11.62,208,158.0
2018-05-21 18:29:35,Running,12.79,1:07:03,5:15,11.44,168,144.0
2018-05-18 18:38:50,Running,12.79,1:05:52,5:09,11.66,168,147.0
2018-05-15 18:56:19,Running,12.8,1:05:52,5:09,11.66,167,148.0
